date,app_booking hour,Surge factor
20240217,19:00:00,1.401940561
20240217,20:00:00,1.425770079
20240217,21:00:00,1.392364194
20240217,22:00:00,1.467743292
20240217,23:03:00,1.462268257
20240218,00:00:00,1.42807835
20240218,06:00:00,1.402191734
20240218,07:00:00,1.416569845
20240218,08:00:00,1.431205549
20240218,09:01:00,1.462593839
20240218,10:02:00,1.432392786
20240218,11:00:00,1.430477938
20240218,12:00:00,1.413070906
20240218,13:00:00,1.401748971
20240218,14:00:00,1.417276474
20240218,15:14:00,1.432971169
20240218,16:14:00,1.40465977
20240218,17:00:00,1.402101084
20240218,18:00:00,1.420615062
20240218,19:00:00,1.393226039
20240218,20:00:00,1.417966469
20240218,21:00:00,1.43353974
20240218,22:00:00,1.42568761
20240218,23:00:00,1.444376152
20240219,00:00:00,1.447850568
20240219,06:00:00,1.375220792
20240219,07:00:00,1.427516613
20240219,08:00:00,1.314080526
20240219,09:08:00,1.366272142
20240219,10:05:00,1.411831719
20240219,11:00:00,1.412543385
20240219,12:01:00,1.384292518
20240219,13:00:00,1.410373066
20240219,14:06:00,1.410373066
20240219,15:00:00,1.394074192
20240219,16:00:00,1.393829101
20240219,17:00:00,1.425847963
20240219,18:00:00,1.379020552
20240219,19:00:00,1.370243864
20240219,20:00:00,1.385218993
20240219,21:00:00,1.397229562
20240219,22:00:00,1.399625682
20240219,23:00:00,1.405455
20240220,00:00:00,1.408092289
20240220,06:00:00,1.392043065
20240220,07:12:00,1.408787011
20240220,08:00:00,1.338470093
20240220,09:00:00,1.370243864
20240220,10:00:00,1.401233085
20240220,11:00:00,1.430477938
20240220,12:10:00,1.370243864
20240220,13:03:00,1.396400032
20240220,14:00:00,1.428106437
20240220,15:00:00,1.432722576
20240220,16:05:00,1.413932798
20240220,17:00:00,1.400435871
20240220,18:02:00,1.363059228
20240220,19:00:00,1.330654333
20240220,20:00:00,1.421684778
20240220,21:00:00,1.376220841
20240220,22:00:00,1.431053023
20240220,23:00:00,1.433940681
20240220,00:00:00,1.445302766
20240214,06:01:00,1.357244086
20240214,07:00:00,1.462446464
20240214,08:00:00,1.26341121
20240214,09:00:00,1.313694268
20240214,10:00:00,1.371124527
20240214,11:00:00,1.429618768
20240214,12:10:00,1.312297257
20240214,13:00:00,1.351208698
20240214,14:00:00,1.328587185
20240214,15:00:00,1.360682372
20240214,16:01:00,1.402680035
20240214,17:00:00,1.328888054
20240214,18:00:00,1.682303462
20240214,19:02:00,1.40452095
20240214,20:00:00,1.289788767
20240214,21:00:00,1.308983427
20240214,22:00:00,1.363687592
20240214,23:00:00,1.357252449
20240215,00:00:00,1.403531056
20240215,06:01:00,1.369322664
20240215,07:00:00,1.389854065
20240215,08:00:00,1.483510803
20240215,09:00:00,1.261014889
20240215,10:00:00,1.354285124
20240215,11:00:00,1.434972794
20240215,12:00:00,1.40499321
20240215,13:00:00,1.33895231
20240215,14:01:00,1.357236909
20240215,15:02:00,1.406937481
20240215,16:00:00,1.398776697
20240215,17:00:00,1.355867469
20240215,18:00:00,1.382264188
20240215,19:00:00,1.343327168
20240215,20:00:00,1.337345369
20240215,21:04:00,1.376414324
20240215,22:00:00,1.40446123
20240215,23:00:00,1.390064064
20240216,00:00:00,1.387340518
20240216,06:01:00,1.298629531
20240216,07:00:00,1.364623178
20240216,08:00:00,1.281272156
20240216,09:00:00,1.319539745
20240216,10:00:00,1.360892254
20240216,11:00:00,1.371124527
20240216,12:02:00,1.349116096
20240216,13:00:00,1.356486857
20240216,14:00:00,1.391589072
20240216,15:00:00,1.349657765
20240216,16:01:00,1.442750435
20240216,17:02:00,1.394060919
20240216,18:00:00,1.29181529
20240216,19:00:00,1.388155811
20240216,20:00:00,1.340891748
20240216,21:00:00,1.360544218
20240216,22:00:00,1.358052519
20240216,23:00:00,1.405575644
20240217,00:00:00,1.423554496
20240217,06:00:00,1.373462319
20240217,07:00:00,1.278518682
20240217,08:00:00,1.3547792
20240217,09:00:00,1.358052519
20240217,10:00:00,1.318101933
20240217,11:00:00,1.296743064
20240217,12:05:00,1.305755771
20240217,13:00:00,1.565083214
20240217,14:00:00,1.294971279
20240217,15:01:00,1.328622611
20240217,16:00:00,1.543177803
20240217,17:00:00,1.338536007
20240217,18:00:00,1.357244086
20240217,19:00:00,1.31505628
20240217,20:00:00,1.358917532
20240217,21:00:00,1.374955742
